char,x,y,width,height,char_idx_in_line,line_idx,page,word
a,118.0,77,13.0,21,21,0,page_1_practice,"Rojas,"
s,131.0,77,13.0,21,22,0,page_1_practice,"Rojas,"
",",144.0,77,13.0,21,23,0,page_1_practice,"Rojas,"
 ,157.0,77,13.0,21,24,0,page_1_practice,
E,170.0,77,13.0,21,25,0,page_1_practice,Engadget
n,183.0,77,13.0,21,26,0,page_1_practice,Engadget
g,196.0,77,13.0,21,27,0,page_1_practice,Engadget
a,209.0,77,13.0,21,28,0,page_1_practice,Engadget
d,222.0,77,13.0,21,29,0,page_1_practice,Engadget
g,235.0,77,13.0,21,30,0,page_1_practice,Engadget
e,248.0,77,13.0,21,31,0,page_1_practice,Engadget
t,261.0,77,13.0,21,32,0,page_1_practice,Engadget
 ,274.0,77,13.0,21,33,0,page_1_practice,
i,287.0,77,13.0,21,34,0,page_1_practice,is
s,300.0,77,13.0,21,35,0,page_1_practice,is
 ,313.0,77,13.0,21,36,0,page_1_practice,
a,326.0,77,13.0,21,37,0,page_1_practice,a
 ,339.0,77,13.0,21,38,0,page_1_practice,
t,352.0,77,13.0,21,39,0,page_1_practice,technology
e,365.0,77,13.0,21,40,0,page_1_practice,technology
c,378.0,77,13.0,21,41,0,page_1_practice,technology
h,391.0,77,13.0,21,42,0,page_1_practice,technology
n,404.0,77,13.0,21,43,0,page_1_practice,technology
o,417.0,77,13.0,21,44,0,page_1_practice,technology
l,430.0,77,13.0,21,45,0,page_1_practice,technology
o,443.0,77,13.0,21,46,0,page_1_practice,technology
g,456.0,77,13.0,21,47,0,page_1_practice,technology
y,469.0,77,13.0,21,48,0,page_1_practice,technology
 ,482.0,77,13.0,21,49,0,page_1_practice,
b,495.0,77,13.0,21,50,0,page_1_practice,blog
l,508.0,77,13.0,21,51,0,page_1_practice,blog
o,521.0,77,13.0,21,52,0,page_1_practice,blog
g,534.0,77,13.0,21,53,0,page_1_practice,blog
 ,547.0,77,13.0,21,54,0,page_1_practice,
p,560.0,77,13.0,21,55,0,page_1_practice,providing
r,573.0,77,13.0,21,56,0,page_1_practice,providing
